Start,Meter,kWh
"11/15/2025 12:00:00 AM","Meter #95175892","0.23"
"11/15/2025 12:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 12:15:00 AM","Meter #95175892","0.20"
"11/15/2025 12:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 12:30:00 AM","Meter #95175892","0.32"
"11/15/2025 12:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 12:45:00 AM","Meter #95175892","0.36"
"11/15/2025 12:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 1:00:00 AM","Meter #95175892","0.39"
"11/15/2025 1:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 1:15:00 AM","Meter #95175892","0.38"
"11/15/2025 1:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 1:30:00 AM","Meter #95175892","0.35"
"11/15/2025 1:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 1:45:00 AM","Meter #95175892","0.35"
"11/15/2025 1:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 2:00:00 AM","Meter #95175892","0.40"
"11/15/2025 2:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 2:15:00 AM","Meter #95175892","0.73"
"11/15/2025 2:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 2:30:00 AM","Meter #95175892","0.58"
"11/15/2025 2:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 2:45:00 AM","Meter #95175892","1.48"
"11/15/2025 2:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 3:00:00 AM","Meter #95175892","0.45"
"11/15/2025 3:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 3:15:00 AM","Meter #95175892","0.23"
"11/15/2025 3:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 3:30:00 AM","Meter #95175892","0.20"
"11/15/2025 3:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 3:45:00 AM","Meter #95175892","0.17"
"11/15/2025 3:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 4:00:00 AM","Meter #95175892","0.21"
"11/15/2025 4:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 4:15:00 AM","Meter #95175892","0.48"
"11/15/2025 4:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 4:30:00 AM","Meter #95175892","0.80"
"11/15/2025 4:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 4:45:00 AM","Meter #95175892","1.10"
"11/15/2025 4:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 5:00:00 AM","Meter #95175892","0.93"
"11/15/2025 5:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 5:15:00 AM","Meter #95175892","0.78"
"11/15/2025 5:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 5:30:00 AM","Meter #95175892","0.24"
"11/15/2025 5:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 5:45:00 AM","Meter #95175892","0.18"
"11/15/2025 5:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 6:00:00 AM","Meter #95175892","0.18"
"11/15/2025 6:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 6:15:00 AM","Meter #95175892","0.47"
"11/15/2025 6:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 6:30:00 AM","Meter #95175892","0.85"
"11/15/2025 6:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 6:45:00 AM","Meter #95175892","0.75"
"11/15/2025 6:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 7:00:00 AM","Meter #95175892","0.67"
"11/15/2025 7:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 7:15:00 AM","Meter #95175892","0.62"
"11/15/2025 7:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 7:30:00 AM","Meter #95175892","0.54"
"11/15/2025 7:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 7:45:00 AM","Meter #95175892","0.42"
"11/15/2025 7:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 8:00:00 AM","Meter #95175892","0.52"
"11/15/2025 8:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 8:15:00 AM","Meter #95175892","0.21"
"11/15/2025 8:15:00 AM","Meter #95175892g","0.00"
"11/15/2025 8:30:00 AM","Meter #95175892","0.42"
"11/15/2025 8:30:00 AM","Meter #95175892g","0.00"
"11/15/2025 8:45:00 AM","Meter #95175892","0.50"
"11/15/2025 8:45:00 AM","Meter #95175892g","0.00"
"11/15/2025 9:00:00 AM","Meter #95175892","0.36"
"11/15/2025 9:00:00 AM","Meter #95175892g","0.00"
"11/15/2025 9:15:00 AM","Meter #95175892","0.06"
"11/15/2025 9:15:00 AM","Meter #95175892g","-0.06"
"11/15/2025 9:30:00 AM","Meter #95175892","0.02"
"11/15/2025 9:30:00 AM","Meter #95175892g","-0.06"
"11/15/2025 9:45:00 AM","Meter #95175892","0.00"
"11/15/2025 9:45:00 AM","Meter #95175892g","-0.18"
"11/15/2025 10:00:00 AM","Meter #95175892","0.00"
"11/15/2025 10:00:00 AM","Meter #95175892g","-0.36"
"11/15/2025 10:15:00 AM","Meter #95175892","0.00"
"11/15/2025 10:15:00 AM","Meter #95175892g","-0.34"
"11/15/2025 10:30:00 AM","Meter #95175892","0.00"
"11/15/2025 10:30:00 AM","Meter #95175892g","-0.37"
"11/15/2025 10:45:00 AM","Meter #95175892","0.00"
"11/15/2025 10:45:00 AM","Meter #95175892g","-0.29"
"11/15/2025 11:00:00 AM","Meter #95175892","0.00"
"11/15/2025 11:00:00 AM","Meter #95175892g","-0.89"
"11/15/2025 11:15:00 AM","Meter #95175892","0.00"
"11/15/2025 11:15:00 AM","Meter #95175892g","-0.66"
"11/15/2025 11:30:00 AM","Meter #95175892","0.00"
"11/15/2025 11:30:00 AM","Meter #95175892g","-0.54"
"11/15/2025 11:45:00 AM","Meter #95175892","0.04"
"11/15/2025 11:45:00 AM","Meter #95175892g","-0.21"
"11/15/2025 12:00:00 PM","Meter #95175892","0.03"
"11/15/2025 12:00:00 PM","Meter #95175892g","-0.20"
"11/15/2025 12:15:00 PM","Meter #95175892","0.13"
"11/15/2025 12:15:00 PM","Meter #95175892g","-0.12"
"11/15/2025 12:30:00 PM","Meter #95175892","0.30"
"11/15/2025 12:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 12:45:00 PM","Meter #95175892","0.30"
"11/15/2025 12:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 1:00:00 PM","Meter #95175892","0.22"
"11/15/2025 1:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 1:15:00 PM","Meter #95175892","0.32"
"11/15/2025 1:15:00 PM","Meter #95175892g","-0.01"
"11/15/2025 1:30:00 PM","Meter #95175892","0.01"
"11/15/2025 1:30:00 PM","Meter #95175892g","-0.44"
"11/15/2025 1:45:00 PM","Meter #95175892","0.00"
"11/15/2025 1:45:00 PM","Meter #95175892g","-0.64"
"11/15/2025 2:00:00 PM","Meter #95175892","0.23"
"11/15/2025 2:00:00 PM","Meter #95175892g","-0.17"
"11/15/2025 2:15:00 PM","Meter #95175892","0.22"
"11/15/2025 2:15:00 PM","Meter #95175892g","-0.02"
"11/15/2025 2:30:00 PM","Meter #95175892","0.11"
"11/15/2025 2:30:00 PM","Meter #95175892g","-0.01"
"11/15/2025 2:45:00 PM","Meter #95175892","0.02"
"11/15/2025 2:45:00 PM","Meter #95175892g","-0.05"
"11/15/2025 3:00:00 PM","Meter #95175892","0.36"
"11/15/2025 3:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 3:15:00 PM","Meter #95175892","0.06"
"11/15/2025 3:15:00 PM","Meter #95175892g","-0.02"
"11/15/2025 3:30:00 PM","Meter #95175892","0.12"
"11/15/2025 3:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 3:45:00 PM","Meter #95175892","0.15"
"11/15/2025 3:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 4:00:00 PM","Meter #95175892","0.25"
"11/15/2025 4:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 4:15:00 PM","Meter #95175892","0.44"
"11/15/2025 4:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 4:30:00 PM","Meter #95175892","0.88"
"11/15/2025 4:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 4:45:00 PM","Meter #95175892","0.89"
"11/15/2025 4:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 5:00:00 PM","Meter #95175892","1.20"
"11/15/2025 5:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 5:15:00 PM","Meter #95175892","1.25"
"11/15/2025 5:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 5:30:00 PM","Meter #95175892","1.19"
"11/15/2025 5:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 5:45:00 PM","Meter #95175892","1.20"
"11/15/2025 5:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 6:00:00 PM","Meter #95175892","1.16"
"11/15/2025 6:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 6:15:00 PM","Meter #95175892","1.04"
"11/15/2025 6:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 6:30:00 PM","Meter #95175892","0.38"
"11/15/2025 6:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 6:45:00 PM","Meter #95175892","0.32"
"11/15/2025 6:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 7:00:00 PM","Meter #95175892","0.34"
"11/15/2025 7:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 7:15:00 PM","Meter #95175892","0.77"
"11/15/2025 7:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 7:30:00 PM","Meter #95175892","0.92"
"11/15/2025 7:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 7:45:00 PM","Meter #95175892","0.93"
"11/15/2025 7:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 8:00:00 PM","Meter #95175892","0.92"
"11/15/2025 8:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 8:15:00 PM","Meter #95175892","0.94"
"11/15/2025 8:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 8:30:00 PM","Meter #95175892","1.02"
"11/15/2025 8:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 8:45:00 PM","Meter #95175892","0.91"
"11/15/2025 8:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 9:00:00 PM","Meter #95175892","0.92"
"11/15/2025 9:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 9:15:00 PM","Meter #95175892","0.79"
"11/15/2025 9:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 9:30:00 PM","Meter #95175892","0.34"
"11/15/2025 9:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 9:45:00 PM","Meter #95175892","0.40"
"11/15/2025 9:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 10:00:00 PM","Meter #95175892","3.18"
"11/15/2025 10:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 10:15:00 PM","Meter #95175892","3.38"
"11/15/2025 10:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 10:30:00 PM","Meter #95175892","3.42"
"11/15/2025 10:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 10:45:00 PM","Meter #95175892","3.19"
"11/15/2025 10:45:00 PM","Meter #95175892g","0.00"
"11/15/2025 11:00:00 PM","Meter #95175892","3.26"
"11/15/2025 11:00:00 PM","Meter #95175892g","0.00"
"11/15/2025 11:15:00 PM","Meter #95175892","3.16"
"11/15/2025 11:15:00 PM","Meter #95175892g","0.00"
"11/15/2025 11:30:00 PM","Meter #95175892","3.12"
"11/15/2025 11:30:00 PM","Meter #95175892g","0.00"
"11/15/2025 11:45:00 PM","Meter #95175892","0.32"
"11/15/2025 11:45:00 PM","Meter #95175892g","0.00"
"11/16/2025 12:00:00 AM","Meter #95175892","0.49"
"11/16/2025 12:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 12:15:00 AM","Meter #95175892","0.62"
"11/16/2025 12:15:00 AM","Meter #95175892g","0.00"
"11/16/2025 12:30:00 AM","Meter #95175892","0.28"
"11/16/2025 12:30:00 AM","Meter #95175892g","0.00"
"11/16/2025 12:45:00 AM","Meter #95175892","0.30"
"11/16/2025 12:45:00 AM","Meter #95175892g","0.00"
"11/16/2025 1:00:00 AM","Meter #95175892","0.31"
"11/16/2025 1:00:00 AM","Meter #95175892g","0.00"
"11/16/2025 1:15:00 AM","Meter #95175892","0.29"
